name,property_type,price,security_deposit,cleaning_fee,extra_people_fee,guests_included,minimum_nights,cancellation_policy,accommodates,bedrooms,beds,bed_type,bathrooms,country,number_of_reviews,review_scores_rating
"Hong Kong University, MTR station 5 min walk away",Apartment,856.0,785.0,306.0,157.0,2.0,2,strict_14_with_grace_period,6,2.0,3.0,Real Bed,1.0,Hong Kong,63,90.0
Superbe maison vintage au cœur du plateau,House,284.0,0.0,0.0,0.0,1.0,4,flexible,6,3.0,3.0,Real Bed,1.0,Canada,0,
Leo's economy accommodation,House,65.0,0.0,0.0,0.0,1.0,1,flexible,2,4.0,4.0,Real Bed,1.0,Australia,0,
We are close to bus station and metro bus...,Hostel,148.0,0.0,0.0,0.0,1.0,1,flexible,2,1.0,1.0,Real Bed,1.5,Turkey,0,
Kama'iki,House,170.0,100.0,150.0,25.0,4.0,2,strict_14_with_grace_period,4,2.0,2.0,Real Bed,1.0,United States,5,80.0
2 Rooms Apt Max5 center of Mongkok,Apartment,502.0,1000.0,300.0,100.0,4.0,2,strict_14_with_grace_period,5,2.0,3.0,Real Bed,1.0,Hong Kong,45,95.0
The Mile End Nest,Apartment,219.0,500.0,30.0,45.0,2.0,3,moderate,2,1.0,1.0,Real Bed,1.0,Canada,33,100.0
"900+sq ft Modern Comfy Apartment, TST Centre",Apartment,1978.0,2380.0,600.0,180.0,4.0,2,strict_14_with_grace_period,12,2.0,7.0,Real Bed,1.0,Hong Kong,11,93.0
"Comfortable, cozy,  very nice location in moda cd",Apartment,221.0,0.0,0.0,36.0,1.0,3,flexible,2,2.0,2.0,Real Bed,1.0,Turkey,20,99.0
ABSOLUTE SAGRADA FAMILIA 2,Serviced apartment,115.0,0.0,45.0,15.0,2.0,2,strict_14_with_grace_period,6,2.0,4.0,Real Bed,1.0,Spain,29,99.0
Hawaii Is Calling You!! Answer the Call!!,Condominium,99.0,100.0,75.0,0.0,1.0,3,strict_14_with_grace_period,2,0.0,1.0,Real Bed,1.0,United States,19,99.0
Big&Bright RM#B21n,House,35.0,0.0,0.0,0.0,1.0,32,flexible,1,1.0,1.0,Real Bed,2.0,Canada,0,
Room in beach house 200m to beach,House,45.0,0.0,0.0,0.0,1.0,1,flexible,2,1.0,1.0,Real Bed,1.0,Australia,1,100.0
Leighton Apartment - Times #E (禮寓-時代館 #E),Apartment,628.0,0.0,0.0,100.0,1.0,1,strict_14_with_grace_period,2,0.0,1.0,Real Bed,1.0,Hong Kong,6,97.0
(inRAMBLAS) 1double room! Historic center,Apartment,68.0,150.0,8.0,12.0,2.0,2,strict_14_with_grace_period,2,1.0,2.0,Real Bed,1.0,Spain,49,91.0
Hawaiian Jungle Hut,Apartment,68.0,0.0,0.0,9.0,1.0,3,moderate,2,1.0,1.0,Real Bed,1.0,United States,139,92.0
Paradise in Willoughby,Bungalow,500.0,1000.0,100.0,0.0,1.0,5,strict_14_with_grace_period,8,3.0,4.0,Real Bed,2.5,Australia,3,100.0
La lumière,Condominium,50.0,0.0,0.0,0.0,1.0,300,flexible,3,2.0,2.0,Real Bed,1.0,Canada,4,90.0
Tranquil Garden Getaway,Apartment,125.0,500.0,100.0,0.0,2.0,3,strict_14_with_grace_period,2,1.0,1.0,Real Bed,1.0,United States,19,99.0
Modern apartment Bondi Beach,Apartment,200.0,0.0,40.0,0.0,1.0,2,strict_14_with_grace_period,2,1.0,1.0,Real Bed,1.5,Australia,2,100.0
Tranquillité en ville près de tous,Condominium,64.0,0.0,0.0,0.0,1.0,7,flexible,3,1.0,1.0,Real Bed,1.0,Canada,3,100.0
Apartamento Céntrico,Guesthouse,50.0,0.0,35.0,44.0,1.0,1,flexible,2,1.0,1.0,Real Bed,1.0,Spain,2,90.0
"Kona Reef, F5 - Beautiful remodeled Condo stunning ocean/sunset views",Condominium,159.0,300.0,170.0,0.0,1.0,1,strict_14_with_grace_period,3,1.0,1.0,Real Bed,1.0,United States,10,96.0
Spacious & Charming by Prospect Pk,Apartment,56.0,500.0,70.0,0.0,1.0,14,strict_14_with_grace_period,2,1.0,1.0,Real Bed,1.0,United States,5,100.0
"The Aloha Studio in Sunny Kihei, Maui!",Condominium,110.0,0.0,80.0,0.0,1.0,3,strict_14_with_grace_period,2,1.0,1.0,Real Bed,1.0,United States,49,93.0
Beach living in Dee Why,Apartment,151.0,0.0,240.0,50.0,2.0,3,strict_14_with_grace_period,4,2.0,2.0,Real Bed,1.0,Australia,1,100.0
Habitación cerca a Sagrada Familia,Apartment,18.0,0.0,0.0,0.0,1.0,1,strict_14_with_grace_period,1,1.0,1.0,Real Bed,1.0,Spain,50,80.0
WONDERFUL APARTMENT NEAR PASEO DE GRACIA,Apartment,80.0,100.0,50.0,20.0,3.0,2,strict_14_with_grace_period,7,3.0,5.0,Real Bed,2.0,Spain,13,86.0
Ka maluhia a me ke aloha Kohala,Guesthouse,85.0,200.0,100.0,0.0,1.0,1,flexible,2,1.0,1.0,Real Bed,1.0,United States,12,97.0
Spacious 4 BR Apartment on Plateau + Terrace,Apartment,150.0,500.0,80.0,20.0,4.0,3,strict_14_with_grace_period,8,4.0,4.0,Real Bed,1.0,Canada,4,100.0
"Perto de tudo e aconchegante, este conjugado!",Apartment,101.0,0.0,70.0,40.0,2.0,4,moderate,3,0.0,2.0,Real Bed,1.0,Brazil,2,100.0
Sagrada Familia up to 6!!,Apartment,50.0,0.0,0.0,0.0,1.0,32,flexible,6,4.0,6.0,Real Bed,2.0,Spain,0,
Double Room with private WC,Hostel,60.0,0.0,0.0,0.0,1.0,1,flexible,2,1.0,1.0,Real Bed,1.0,Portugal,0,
İstanbul Üsküdar  Sweet House in Rent for 4 months,Apartment,95.0,791.0,105.0,53.0,3.0,1,flexible,2,1.0,3.0,Real Bed,1.0,Turkey,0,
Big&Bright RM#B22n,House,46.0,0.0,0.0,0.0,1.0,32,flexible,2,1.0,2.0,Real Bed,2.0,Canada,0,
One istanbul Suadiye 1+1 (50 m2),Aparthotel,453.0,596.0,0.0,179.0,1.0,1,moderate,2,1.0,2.0,Real Bed,1.0,Turkey,0,
Beautiful Downtown Condo - 5 min to Centre Bell.,Apartment,145.0,500.0,55.0,15.0,2.0,2,strict_14_with_grace_period,4,1.0,2.0,Real Bed,1.0,Canada,12,98.0
Victorian Apartment w/ Private Terrace,Apartment,301.0,0.0,25.0,25.0,2.0,2,flexible,6,3.0,3.0,Real Bed,1.5,Canada,8,93.0
Cosy Apartment near Bogazici (Bosporus) University,Apartment,200.0,0.0,60.0,0.0,1.0,2,flexible,4,1.0,3.0,Real Bed,1.0,Turkey,8,98.0
Apartamento grande luminoso,Apartment,60.0,500.0,50.0,20.0,1.0,1,strict_14_with_grace_period,6,3.0,3.0,Real Bed,1.0,Portugal,0,
Chambre sur le plateau Mont Royal,Apartment,20.0,0.0,10.0,0.0,1.0,7,moderate,1,1.0,1.0,Real Bed,2.0,Canada,0,
Double room & private toilet near Sagrada Familia,Apartment,29.0,85.0,5.0,15.0,1.0,2,flexible,2,1.0,1.0,Real Bed,2.0,Spain,24,96.0
Adjacent house in Outremont,House,450.0,1500.0,175.0,20.0,13.0,5,flexible,13,7.0,8.0,Real Bed,3.0,Canada,3,87.0
Ruby Charm Houses 7,House,50.0,200.0,35.0,25.0,2.0,1,strict_14_with_grace_period,3,1.0,2.0,Real Bed,1.0,Portugal,3,100.0
20% off - Cozy large 2bed +Roof Top 5min to subway,Apartment,989.0,1000.0,158.0,50.0,2.0,7,strict_14_with_grace_period,3,1.0,2.0,Real Bed,1.0,Hong Kong,26,91.0
Modern style house which is close to Atatürk airp.,Townhouse,211.0,596.0,30.0,149.0,1.0,3,flexible,2,2.0,1.0,Real Bed,1.0,Turkey,5,100.0
Décima-Quarta Esquadra — r/C,Apartment,35.0,0.0,30.0,25.0,1.0,2,strict_14_with_grace_period,2,1.0,1.0,Real Bed,1.0,Portugal,1,100.0
Single Room TH,Hotel,228.0,0.0,0.0,0.0,1.0,1,strict_14_with_grace_period,1,1.0,1.0,Real Bed,1.0,Hong Kong,1,80.0
New! Bright 2bed easily connected to the center,Apartment,94.0,0.0,65.0,15.0,4.0,2,moderate,6,2.0,3.0,Real Bed,1.0,Spain,23,95.0
cozy flat in the center of taksim,Apartment,295.0,0.0,0.0,0.0,1.0,1,moderate,2,1.0,1.0,Real Bed,1.0,Turkey,22,91.0
Apartamento com terraço e metro próximo,Apartment,42.0,100.0,20.0,5.0,2.0,2,flexible,4,1.0,2.0,Real Bed,2.0,Portugal,15,97.0
Comfy and Quiet Alexandria Apartment,Apartment,151.0,0.0,10.0,0.0,1.0,4,flexible,4,2.0,2.0,Real Bed,2.0,Australia,0,
Ocean Views and Pool Lounging in 3-bed near Beach,Guest suite,100.0,350.0,209.0,30.0,3.0,2,moderate,4,3.0,3.0,Real Bed,1.0,Australia,17,88.0
Luxury Serviced Apt with Harbour Sea View 红磡高级海景公寓,Serviced apartment,761.0,0.0,117.0,0.0,1.0,2,flexible,4,2.0,3.0,Real Bed,1.0,Hong Kong,2,100.0
Suen Apart,Apartment,417.0,0.0,0.0,0.0,1.0,1,moderate,2,0.0,1.0,Real Bed,1.0,Turkey,0,
The Club Suite (King & sofa bed),Apartment,191.0,500.0,0.0,0.0,2.0,31,strict_14_with_grace_period,4,1.0,1.0,Real Bed,1.0,Canada,2,100.0
Cozy Room in TST Ideal for Single Traveler,Hostel,322.0,0.0,50.0,0.0,1.0,2,moderate,1,1.0,1.0,Real Bed,1.0,Hong Kong,59,96.0
Wailea Elua Village 2401 - Ocean View,Condominium,489.0,0.0,0.0,35.0,2.0,3,super_strict_30,4,1.0,2.0,Real Bed,2.0,United States,0,
Chambre privée quartier Le Village - Berri-UQAM,Apartment,23.0,0.0,0.0,0.0,1.0,3,flexible,2,1.0,1.0,Real Bed,1.0,Canada,2,100.0
Vila Olímpica Sant Martí - Sardenya,Apartment,103.0,0.0,0.0,0.0,4.0,1,super_strict_30,4,2.0,2.0,Real Bed,1.0,Spain,0,
Newly renovated apt  ***5 mins to Causeway bay***,Apartment,424.0,0.0,200.0,0.0,1.0,5,strict_14_with_grace_period,2,0.0,1.0,Real Bed,1.0,Hong Kong,1,100.0
Confortável e pertinho da praia!,Apartment,246.0,400.0,200.0,20.0,5.0,3,strict_14_with_grace_period,6,2.0,5.0,Real Bed,2.0,Brazil,4,95.0
Conjugado Leblon 10min da praia e 5min metrô a pé.,Apartment,201.0,0.0,100.0,25.0,2.0,1,moderate,3,1.0,1.0,Real Bed,1.0,Brazil,19,100.0
Piso 3 habitaciones con encanto en Fuente Mágica,Apartment,80.0,0.0,0.0,0.0,1.0,60,strict_14_with_grace_period,3,3.0,3.0,Real Bed,1.0,Spain,0,
Queen Yataklı Oda & Queen Room,Hotel,7203.0,0.0,0.0,0.0,1.0,1,flexible,2,1.0,1.0,Real Bed,1.0,Turkey,2,70.0
"New & Clean Single Room in TST, next to MTR!",Hostel,377.0,0.0,50.0,0.0,1.0,2,moderate,1,1.0,1.0,Real Bed,1.0,Hong Kong,49,94.0
Executive private room near museum station`,Apartment,129.0,0.0,20.0,0.0,1.0,2,moderate,2,1.0,1.0,Real Bed,1.0,Australia,17,99.0
Apartamento de Qualidade no Porto,Apartment,65.0,0.0,0.0,15.0,2.0,3,moderate,4,1.0,1.0,Real Bed,1.0,Portugal,188,97.0
"(旺角)距離地鐵站半分鐘;超方便,安全,乾淨,舒適的住宿;免費上網wifi;私人洗手間;冷暖空調",Condominium,353.0,0.0,39.0,100.0,2.0,2,strict_14_with_grace_period,2,1.0,1.0,Real Bed,1.0,Hong Kong,72,94.0
Quirky & Modern Flat in Sheung Wan,Apartment,903.0,900.0,0.0,160.0,2.0,2,strict_14_with_grace_period,2,1.0,1.0,Real Bed,1.0,Hong Kong,8,98.0
New! Hanalei Garden Oasis w/ Pool & Hot Tub,Condominium,159.0,300.0,129.0,25.0,2.0,1,strict_14_with_grace_period,4,0.0,1.0,Real Bed,1.0,United States,27,93.0
Spacious 2 bedroom apt in Chiswick,Condominium,159.0,500.0,135.0,50.0,4.0,2,strict_14_with_grace_period,5,2.0,3.0,Real Bed,2.0,Australia,12,92.0
Room in Plateau Mont-Royal,Apartment,55.0,0.0,10.0,0.0,1.0,2,flexible,2,1.0,1.0,Real Bed,1.0,Canada,17,91.0
Ataköy Marina,Bed and breakfast,58.0,0.0,0.0,0.0,1.0,1,flexible,1,1.0,1.0,Real Bed,1.0,Turkey,0,
"Napili Ridge 1 Bed Condo: Wi Fi, A/C, Ocean View",Condominium,157.0,250.0,150.0,25.0,2.0,1,moderate,4,1.0,1.0,Real Bed,1.0,United States,28,93.0
Private bedroom in east end renovated apartment,Apartment,23.0,0.0,12.0,13.0,1.0,2,flexible,1,1.0,1.0,Real Bed,1.0,Canada,10,88.0
Precioso Apartamento en Barcelona *Bcn* C02,Apartment,150.0,190.0,15.0,14.0,2.0,2,moderate,3,1.0,2.0,Real Bed,1.0,Spain,22,86.0
Iconic Sydney CBD Barangaroo Harbour View Living,Apartment,200.0,0.0,100.0,30.0,1.0,2,moderate,6,2.0,3.0,Real Bed,1.0,Australia,11,91.0
Wonderful room in the heart of Plateau.,Apartment,50.0,0.0,0.0,0.0,1.0,2,strict_14_with_grace_period,2,1.0,1.0,Real Bed,1.0,Canada,6,100.0
DOWNTOWN STUDIO DW,Apartment,89.0,0.0,35.0,22.0,1.0,6,flexible,1,0.0,1.0,Real Bed,1.0,Canada,7,97.0
Belle chambre lumineuse sur le plateau,Apartment,25.0,0.0,0.0,0.0,1.0,4,flexible,2,1.0,1.0,Real Bed,1.0,Canada,1,
Cosy place with a balcony.,Condominium,1900.0,0.0,0.0,0.0,1.0,1,strict_14_with_grace_period,4,2.0,2.0,Real Bed,1.0,Hong Kong,26,98.0
"Piso en el centro,  habitación individual,",Apartment,45.0,0.0,10.0,0.0,1.0,1,flexible,1,1.0,1.0,Real Bed,1.0,Spain,6,100.0
"Plumeria House, Poipu Home with a View",House,675.0,1000.0,425.0,0.0,1.0,3,strict_14_with_grace_period,14,4.0,7.0,Real Bed,3.5,United States,8,100.0
"Spacious, charming & quiet delight",Apartment,250.0,400.0,85.0,50.0,2.0,2,strict_14_with_grace_period,3,1.0,1.0,Real Bed,1.0,United States,74,95.0
Connection family room seperate toilets.,Hotel,654.0,0.0,0.0,60.0,5.0,1,flexible,5,2.0,4.0,Real Bed,2.0,Turkey,21,98.0
Cozy Apartment Las Ramblas,Apartment,45.0,500.0,60.0,0.0,1.0,31,strict_14_with_grace_period,2,1.0,1.0,Real Bed,1.0,Spain,2,100.0
Precioso Estudio en Barcelona *Bcn* C01,Loft,72.0,190.0,15.0,14.0,2.0,2,moderate,3,0.0,2.0,Real Bed,1.0,Spain,10,94.0
Cozy Brooklyn Witchy Apartment (Pet Friendly),Apartment,47.0,0.0,8.0,15.0,2.0,1,strict_14_with_grace_period,2,1.0,1.0,Real Bed,1.0,United States,9,91.0
Private Room and Bathroom For Our Guests,Apartment,105.0,527.0,0.0,0.0,1.0,2,moderate,2,1.0,1.0,Real Bed,1.0,Turkey,2,100.0
Private room in the heart of Kadıköy,Serviced apartment,79.0,0.0,60.0,36.0,1.0,2,flexible,2,1.0,1.0,Real Bed,1.0,Turkey,0,
Istanbul Bosphorus flat,Apartment,1055.0,0.0,0.0,0.0,1.0,2,flexible,4,2.0,2.0,Real Bed,1.0,Turkey,0,
"Perto do Porto, Gaia e mar.",Apartment,150.0,100.0,15.0,5.0,4.0,3,flexible,8,2.0,4.0,Real Bed,2.0,Portugal,15,89.0
"Causeway Bay, For 2  . walk to Times Square (1d)",Apartment,283.0,1000.0,100.0,0.0,1.0,29,flexible,2,1.0,1.0,Real Bed,1.0,Hong Kong,0,
Cozy room in Galata,Serviced apartment,69.0,0.0,150.0,26.0,1.0,3,strict_14_with_grace_period,2,1.0,1.0,Real Bed,1.0,Turkey,0,
Cosy Loft in the Heart of Borne,Loft,70.0,0.0,0.0,0.0,1.0,2,strict_14_with_grace_period,3,1.0,2.0,Real Bed,1.0,Spain,3,70.0
Beautiful apt with sea view & Wifi,Apartment,115.0,250.0,0.0,0.0,1.0,2,super_strict_30,5,2.0,3.0,Real Bed,2.0,Portugal,0,
Studio in the heart of Soho,Apartment,683.0,0.0,200.0,0.0,1.0,2,strict_14_with_grace_period,2,1.0,1.0,Real Bed,1.0,Hong Kong,22,93.0
Garden Small Village,House,69.0,0.0,25.0,15.0,3.0,2,strict_14_with_grace_period,3,0.0,1.0,Real Bed,1.0,Portugal,0,
The best apartment in the heart of Hong Kong,Apartment,848.0,790.0,150.0,0.0,1.0,2,moderate,4,1.0,2.0,Real Bed,1.0,Hong Kong,4,90.0
ON Passeig de Gràcia LUXURY 2BR TERRACE&concierge,Serviced apartment,160.0,1000.0,120.0,0.0,1.0,32,strict_14_with_grace_period,4,2.0,3.0,Real Bed,2.0,Spain,0,
Quarto 1 do AL Hostel D.ª Jucunda,House,12.0,170.0,5.0,12.0,1.0,1,strict_14_with_grace_period,4,1.0,4.0,Real Bed,2.0,Portugal,16,93.0
Georgeos Penthouse with terrace,Apartment,58.0,500.0,60.0,0.0,1.0,31,strict_14_with_grace_period,4,1.0,1.0,Real Bed,1.0,Spain,2,20.0
Private room in Coogee,Apartment,50.0,0.0,50.0,0.0,1.0,5,flexible,2,1.0,1.0,Real Bed,1.0,Australia,2,100.0
中环家电齐全长短租均可,Apartment,683.0,0.0,0.0,0.0,1.0,30,flexible,2,0.0,1.0,Real Bed,1.0,Hong Kong,0,
Double Room /w Harbour Bridge view,Apartment,75.0,0.0,0.0,0.0,1.0,2,flexible,2,1.0,1.0,Real Bed,1.0,Australia,0,
Cosme Guesthouse |Triplo,Apartment,95.0,0.0,0.0,0.0,1.0,1,flexible,3,2.0,3.0,Real Bed,1.0,Portugal,1,100.0
"Very Safe, Peaceful, Reliable Istanbul can show.",Condominium,301.0,0.0,0.0,0.0,1.0,1,flexible,2,2.0,2.0,Real Bed,1.0,Turkey,1,100.0
Cosy Studio in the Heart of Hong Kong,Apartment,699.0,0.0,157.0,542.0,2.0,1,flexible,2,0.0,1.0,Real Bed,1.0,Hong Kong,8,90.0
"smoothly, cheap house in Sisli,Istanbul..",Apartment,63.0,0.0,26.0,26.0,1.0,1,flexible,2,1.0,2.0,Real Bed,1.0,Turkey,7,94.0
Beautiful Mezzanine Studio (2 Guests) - N. Nasoni,Apartment,55.0,0.0,5.0,15.0,2.0,1,moderate,2,1.0,1.0,Real Bed,1.0,Portugal,5,100.0
Lovely Erskineville terrace near Sydney Uni/RPA,Townhouse,75.0,0.0,50.0,20.0,1.0,2,strict_14_with_grace_period,2,1.0,2.0,Real Bed,1.0,Australia,11,100.0
Relaxing view walking distance from the beach.,Condominium,1303.0,0.0,0.0,0.0,1.0,4,flexible,6,3.0,3.0,Real Bed,2.0,Hong Kong,0,
"Light-filled, 1 bedroom apartment in Potts Point",Apartment,85.0,0.0,85.0,0.0,2.0,2,flexible,2,1.0,1.0,Real Bed,1.0,Australia,47,97.0
Light-filled private room next to Surry Hills,House,55.0,0.0,0.0,0.0,1.0,2,flexible,2,1.0,1.0,Real Bed,1.0,Australia,2,90.0
Spacious 2 Bedroom Apartment,Apartment,161.0,134.0,60.0,0.0,3.0,3,moderate,4,2.0,2.0,Real Bed,1.0,Australia,3,80.0
"Ideal for family, near subway station",Townhouse,199.0,1000.0,80.0,0.0,1.0,4,strict_14_with_grace_period,5,3.0,4.0,Real Bed,2.0,Canada,1,100.0
"Your place for Sea, Cellars & Porto! (parking inc)",Apartment,63.0,150.0,35.0,15.0,4.0,2,strict_14_with_grace_period,6,2.0,4.0,Real Bed,1.5,Portugal,31,98.0
"GRACIA SUITE, cozy 1 bedroom apt, great location",Apartment,49.0,0.0,0.0,0.0,1.0,32,flexible,2,1.0,1.0,Real Bed,1.0,Spain,1,80.0
Secret room2,Apartment,20.0,0.0,5.0,0.0,1.0,3,strict_14_with_grace_period,2,1.0,1.0,Real Bed,1.0,Spain,11,85.0
Stunning Beachside Studio Unit  on Bondi Beach,Apartment,100.0,250.0,100.0,50.0,2.0,2,strict_14_with_grace_period,2,0.0,1.0,Real Bed,1.0,Australia,22,95.0
Bright & Stunning 2BR APT w/City View &Wifi,Apartment,151.0,0.0,69.0,30.0,4.0,1,strict_14_with_grace_period,6,2.0,3.0,Real Bed,1.0,Australia,60,91.0
Mall Of İstanbul,Serviced apartment,786.0,524.0,0.0,0.0,1.0,3,strict_14_with_grace_period,8,3.0,8.0,Real Bed,2.0,Turkey,0,
Yindi One Boavista,Apartment,50.0,0.0,15.0,0.0,2.0,2,moderate,2,1.0,1.0,Real Bed,1.0,Portugal,15,94.0
Cozy Double Rm 4 next to Jordan MTR,Apartment,338.0,0.0,0.0,0.0,1.0,1,strict_14_with_grace_period,2,1.0,1.0,Real Bed,1.0,Hong Kong,58,85.0
"Large, comfy & bright North Sydney 1 bed apartment",Apartment,80.0,150.0,100.0,0.0,1.0,2,strict_14_with_grace_period,2,1.0,1.0,Real Bed,1.0,Australia,31,91.0
Condo au charme parisien au cœur d’Ahuntsic,Apartment,200.0,0.0,100.0,50.0,8.0,2,flexible,8,4.0,5.0,Real Bed,2.0,Canada,0,
2 Queen Beds Sunny Rm (2-4 people) next to TST MTR,Apartment,793.0,1000.0,50.0,100.0,4.0,2,moderate,4,1.0,2.0,Real Bed,1.0,Hong Kong,52,95.0
Centrally located in Bayside / Nice,Apartment,90.0,0.0,0.0,0.0,1.0,3,flexible,1,1.0,1.0,Real Bed,1.0,United States,8,100.0
鮀城小家-感受不一样的异地之旅,House,4828.0,0.0,0.0,0.0,1.0,1,flexible,2,0.0,1.0,Real Bed,1.0,Hong Kong,0,
MEHMET'S PLACE IN ISTANBUL,Serviced apartment,295.0,0.0,0.0,0.0,1.0,3,moderate,8,3.0,5.0,Real Bed,1.0,Turkey,31,96.0
Cosy Hidaway in the centre of Mongkok,Apartment,1083.0,0.0,280.0,300.0,2.0,2,moderate,4,1.0,1.0,Real Bed,1.0,Hong Kong,3,100.0
ruhige Wohnung mit WLAN in Barcelona,Apartment,59.0,0.0,70.0,0.0,1.0,3,flexible,4,0.0,2.0,Real Bed,1.0,Spain,6,97.0
Beautiful room at Tibidabbo,Serviced apartment,17.0,0.0,0.0,5.0,1.0,60,moderate,1,1.0,1.0,Real Bed,2.0,Spain,5,100.0
C4 Big Room in Oporto ( near Casa da Música),Serviced apartment,17.0,0.0,0.0,5.0,1.0,1,strict_14_with_grace_period,2,1.0,1.0,Real Bed,1.0,Portugal,76,97.0
Little self contained 1 bedroom just out side city,Apartment,135.0,500.0,85.0,0.0,1.0,2,strict_14_with_grace_period,4,1.0,2.0,Real Bed,1.0,Australia,41,90.0
el Besos y el Maresme,Apartment,35.0,0.0,10.0,0.0,1.0,2,strict_14_with_grace_period,2,1.0,1.0,Real Bed,1.0,Spain,8,90.0
DA'Home - Almada Unique Apartment,Apartment,60.0,0.0,15.0,5.0,2.0,2,moderate,3,1.0,2.0,Real Bed,1.0,Portugal,40,98.0
So close of tourist attractions :),Apartment,127.0,300.0,0.0,60.0,1.0,1,strict_14_with_grace_period,2,1.0,1.0,Real Bed,1.5,Brazil,43,98.0
Stylish & Stunning 2br Apartment Perfectly Located,Apartment,180.0,0.0,100.0,0.0,1.0,2,strict_14_with_grace_period,6,2.0,2.0,Real Bed,1.0,Canada,11,96.0
My Place,Bed and breakfast,24.0,0.0,0.0,0.0,1.0,1,flexible,1,1.0,1.0,Real Bed,1.0,Canada,0,
Eixample Dret València Cartagena,Apartment,71.0,0.0,0.0,0.0,3.0,1,super_strict_30,3,2.0,2.0,Real Bed,1.0,Spain,2,80.0
Simple Studio Downtown Montreal (Atwater Station),Apartment,25.0,0.0,8.0,0.0,1.0,1,strict_14_with_grace_period,2,0.0,1.0,Real Bed,1.0,Canada,39,85.0
BessaApartments 1A-Porto,Apartment,100.0,200.0,10.0,10.0,4.0,1,moderate,6,2.0,4.0,Real Bed,2.0,Portugal,5,96.0
Repos de Ouro  Street of city park,Apartment,120.0,0.0,48.0,0.0,1.0,3,flexible,6,3.0,4.0,Real Bed,2.0,Portugal,3,87.0
#Cosy Private Room #5mins to Mei Foo Metro,Condominium,353.0,0.0,100.0,0.0,1.0,1,moderate,1,1.0,1.0,Real Bed,1.0,Hong Kong,0,
Studio home in Taksim,Apartment,290.0,0.0,77.0,36.0,2.0,2,moderate,3,1.0,2.0,Real Bed,1.0,Turkey,35,99.0
Your Opo Bolhão 4A,Serviced apartment,68.0,0.0,0.0,0.0,1.0,1,moderate,2,0.0,1.0,Real Bed,1.0,Portugal,1,100.0
Awesome Child Friendly Apartment!,Apartment,100.0,300.0,50.0,0.0,1.0,5,moderate,4,2.0,3.0,Real Bed,1.0,United States,7,100.0
Large 2 Bedroom In Tour Des Canadiens,Guest suite,950.0,250.0,65.0,25.0,2.0,30,strict_14_with_grace_period,4,2.0,2.0,Real Bed,1.0,Canada,1,100.0
Plaza Espanya,Apartment,70.0,250.0,50.0,20.0,2.0,3,strict_14_with_grace_period,6,2.0,3.0,Real Bed,1.0,Spain,2,70.0
City Centre & Calm Room,Apartment,179.0,0.0,0.0,0.0,1.0,3,moderate,2,0.0,1.0,Real Bed,1.0,Turkey,25,87.0
Brooklyn Brownstone apartment,Apartment,180.0,200.0,140.0,15.0,2.0,2,strict_14_with_grace_period,4,1.0,2.0,Real Bed,1.0,United States,175,91.0
"Apartment for 4 people, near the beach!",Apartment,168.0,0.0,150.0,40.0,2.0,2,strict_14_with_grace_period,4,1.0,1.0,Real Bed,1.0,Brazil,0,
Barcelona Just Like Home - Green,Apartment,120.0,300.0,0.0,20.0,2.0,2,moderate,5,2.0,3.0,Real Bed,1.0,Spain,14,92.0
Old City/Blue Mosque/St. Sophia,Boutique hotel,174.0,0.0,0.0,0.0,1.0,2,moderate,4,1.0,3.0,Real Bed,1.0,Turkey,0,
Causeway Bay.  Spacious Room with ROOFTOP  !!(18a),Apartment,290.0,1000.0,100.0,0.0,1.0,29,flexible,2,1.0,1.0,Real Bed,1.0,Hong Kong,0,
Beachside studio in idealic Bronte,Guest suite,149.0,0.0,30.0,200.0,2.0,2,strict_14_with_grace_period,2,0.0,1.0,Real Bed,1.0,Australia,51,99.0
Porto Gaia Wine's Place,Apartment,50.0,0.0,18.0,7.0,2.0,2,strict_14_with_grace_period,4,1.0,2.0,Real Bed,1.0,Portugal,12,98.0
Trendy and cosy apartment with bay views!,Apartment,100.0,0.0,29.0,0.0,1.0,1,strict_14_with_grace_period,1,1.0,1.0,Real Bed,1.0,Australia,11,95.0
Modest House,House,55.0,0.0,25.0,0.0,1.0,1,strict_14_with_grace_period,6,3.0,1.0,Real Bed,1.0,Portugal,30,85.0
Quiet bungalow (Rivière des prairies),Bungalow,24.0,0.0,7.0,12.0,1.0,3,strict_14_with_grace_period,2,1.0,1.0,Real Bed,1.0,Canada,2,100.0
Blue Room With Balcony Barcelona Rambla,Apartment,55.0,100.0,20.0,10.0,1.0,2,strict_14_with_grace_period,2,1.0,1.0,Real Bed,1.0,Spain,13,86.0
"Dublex, 4 Room, Terrace, Sunny House at Center",Apartment,206.0,0.0,0.0,53.0,4.0,4,flexible,6,2.0,4.0,Real Bed,2.0,Turkey,4,100.0
Chambre privée au coeur de Rosemont,Apartment,16.0,200.0,15.0,10.0,1.0,2,moderate,1,1.0,1.0,Real Bed,1.0,Canada,7,100.0
The Porto Concierge - Mosaic Mezzanine,Apartment,50.0,0.0,15.0,10.0,2.0,2,moderate,3,1.0,1.0,Real Bed,1.0,Portugal,37,89.0
Montréal - Petite Patrie : idéal pour une famille,Apartment,95.0,150.0,70.0,20.0,2.0,4,strict_14_with_grace_period,5,3.0,4.0,Real Bed,1.0,Canada,2,100.0
